ds,yhat,yhat_lower,yhat_upper
2026-07-07 00:00:00,68.65470287485665,43.336047779920555,90.02103962381777
2026-07-07 01:00:00,68.68075560096499,45.99421143513767,93.11542715438961
2026-07-07 02:00:00,68.72452272014455,44.48942390875259,91.99353012502935
2026-07-07 03:00:00,68.75838512234165,47.41878735846548,91.89219904976116
2026-07-07 04:00:00,68.7630335278654,45.0327663553268,91.78063636564946
2026-07-07 05:00:00,68.74950575369073,46.0297443630703,92.58958573681332
2026-07-07 06:00:00,68.74362278255477,46.815894219149065,90.89689414220366
2026-07-07 07:00:00,68.75967494484905,44.76859885626471,93.18383829543764
2026-07-07 08:00:00,68.80061314050015,45.85495827762604,91.22490155370414
2026-07-07 09:00:00,68.88524586925476,46.3531722323178,90.38520346234023
2026-07-07 10:00:00,69.06201808498727,45.82092269585616,90.99914991033093
2026-07-07 11:00:00,69.37408868985607,48.330184984858576,92.5402788010321
2026-07-07 12:00:00,69.79312214195839,46.371330211227345,92.69358851150595
2026-07-07 13:00:00,70.18636264152269,47.176113927430784,92.51346275388568
2026-07-07 14:00:00,70.36828855298192,47.382366960654586,93.60205141902695
2026-07-07 15:00:00,70.21677503720043,46.178810464857705,93.62392249109996
2026-07-07 16:00:00,69.76762176129485,46.061034832830664,92.94137346828813
2026-07-07 17:00:00,69.2063223047493,43.74115708160501,93.17386179188303
2026-07-07 18:00:00,68.75492535968193,44.41282246923394,92.96473009569605
2026-07-07 19:00:00,68.53769712197847,46.73315933532401,92.8419871546708
2026-07-07 20:00:00,68.5256604573788,43.51311442525284,92.46595681221008
2026-07-07 21:00:00,68.59252807144495,44.52560101343405,91.21250193927068
2026-07-07 22:00:00,68.62410340159359,46.97057283648,92.27122424771716
2026-07-07 23:00:00,68.58914211992419,45.48922039413738,92.76802796455945
2026-07-08 00:00:00,68.52641909175418,46.272535974487056,93.06811662126111
2026-07-08 01:00:00,68.4807109457133,45.301114222677626,92.83639626676106
2026-07-08 02:00:00,68.45665324894763,45.704415443416806,89.8121511828149
2026-07-08 03:00:00,68.42727421272866,45.102096626628864,91.37771324942464
2026-07-08 04:00:00,68.37386067164755,46.904864357838456,91.57734271493878
2026-07-08 05:00:00,68.30798575776193,43.26054334179391,90.19972493957536
2026-07-08 06:00:00,68.25594089055895,45.581724531843705,94.22532862532542
2026-07-08 07:00:00,68.23241998936244,44.880370373094934,90.17470905766645
2026-07-08 08:00:00,68.24070607534186,45.48389175492645,91.12147469000074
2026-07-08 09:00:00,68.2998610226055,46.17366938610536,91.84305858414186
2026-07-08 10:00:00,68.45849975556091,46.684738922697036,91.96026269053402
2026-07-08 11:00:00,68.75987031301189,47.65006036651168,91.88475577409098
2026-07-08 12:00:00,69.17565302168865,46.99469683426465,90.45574556992973
2026-07-08 13:00:00,69.5730388945713,44.337152061090876,92.26577235106555
2026-07-08 14:00:00,69.76637826756765,47.30248449554861,93.52224556124617
2026-07-08 15:00:00,69.63333023861169,46.89783606468105,91.39766272314017
2026-07-08 16:00:00,69.20938091153137,47.663102403706844,91.93495104161629
2026-07-08 17:00:00,68.67961753759347,45.72424571775234,90.06316565301458
2026-07-08 18:00:00,68.2656088884612,44.61776770134259,92.14122143930298
2026-07-08 19:00:00,68.09109036049287,44.71710429821814,91.39053005500499
2026-07-08 20:00:00,68.12651636982211,45.041555591876666,92.15534879713736
2026-07-08 21:00:00,68.2449929820567,45.5388428212196,92.09245901226204
2026-07-08 22:00:00,68.33167191680734,42.55814541912007,88.87782917502622
2026-07-08 23:00:00,68.35461064609964,45.62241761578692,93.23320347819947
2026-07-09 00:00:00,68.35184920003863,45.2680075929078,94.13804657506051
2026-07-09 01:00:00,68.36740950151969,45.01407217866467,91.01453399266921
2026-07-09 02:00:00,68.40516719038534,45.86045957893368,91.93444384391506
2026-07-09 03:00:00,68.43739299171062,45.50037004878948,92.03262986906334
2026-07-09 04:00:00,68.44462229031164,44.61807695593062,91.39737453903793
2026-07-09 05:00:00,68.43768859746704,45.84504668880816,93.29004604351077
2026-07-09 06:00:00,68.44216598745486,45.04236963812883,90.70803795824148
2026-07-09 07:00:00,68.47206483283962,43.254184441227274,90.96354031838504
2026-07-09 08:00:00,68.53002608493256,44.99835089669878,90.78616084069343
2026-07-09 09:00:00,68.63451470321209,45.786688470445576,93.40320329305463
2026-07-09 10:00:00,68.83359868182875,45.07332285825051,92.0694036073607
2026-07-09 11:00:00,69.17003958661131,46.63015521740364,93.76787252741421
2026-07-09 12:00:00,69.61510552117454,46.73655668255974,91.3087617081825
2026-07-09 13:00:00,70.03565821458008,47.23036204824415,92.5373479196353
2026-07-09 14:00:00,70.24579855087501,46.11115197818756,95.43056971181109
2026-07-09 15:00:00,70.1230036635853,45.52834488736405,92.40829000571414
2026-07-09 16:00:00,69.70263472626884,44.141501524145106,92.92165729608506
2026-07-09 17:00:00,69.16971302234245,46.623565021669826,92.64885858716528
2026-07-09 18:00:00,68.74581489994284,44.800446311652465,92.52469649862384
2026-07-09 19:00:00,68.55477327653291,46.57071100998197,90.8752014403433
2026-07-09 20:00:00,68.56723530623171,44.07760579438979,90.81801548641623
2026-07-09 21:00:00,68.65658496995778,45.244082788736996,90.17111361488381
2026-07-09 22:00:00,68.70831926953376,47.11348309062939,92.9297039889381
2026-07-09 23:00:00,68.69089471037424,44.790198056193795,91.0357470355726
2026-07-10 00:00:00,68.64280060670139,45.36004366011901,90.6894025047022
2026-07-10 01:00:00,68.60856086183641,44.94808485722132,91.19057640096068
2026-07-10 02:00:00,68.59260532702474,44.70282755151653,92.72178044230424
2026-07-10 03:00:00,68.56780310903896,46.016136796503744,91.319029176007
2026-07-10 04:00:00,68.51531960014016,45.30051059902698,91.07988557533218
2026-07-10 05:00:00,68.44663937850868,46.070153620904335,90.58420614119947
2026-07-10 06:00:00,68.38800271270084,43.99708275216814,93.08560633438688
2026-07-10 07:00:00,68.35409662101688,45.25870698518068,92.3407958974489
2026-07-10 08:00:00,68.34824100746364,45.56878870109069,91.25579977072866
2026-07-10 09:00:00,68.38957051365067,45.88262238431249,92.25744429958117
2026-07-10 10:00:00,68.52680386944105,46.66941390435208,91.54107942523233
2026-07-10 11:00:00,68.8033313221748,46.543255636235145,91.50263190588939
2026-07-10 12:00:00,69.19102890077826,45.459440740034104,93.21352914484397
2026-07-10 13:00:00,69.55734293240464,47.097338715142556,91.71464792834934
2026-07-10 14:00:00,69.71692257011127,46.127296066664634,93.36237240063726
2026-07-10 15:00:00,69.54773612868897,44.24873705848388,91.76366231681445
2026-07-10 16:00:00,69.0855615845952,46.103480645479415,92.0979573211935
2026-07-10 17:00:00,68.51575938866029,45.45103233954998,91.20929553583561
2026-07-10 18:00:00,68.06017852566526,46.79829790127949,92.37751537655508
2026-07-10 19:00:00,67.84287268276773,44.526779144824964,92.76908830812174
2026-07-10 20:00:00,67.83466320626246,44.67440273723277,90.80839426736958
2026-07-10 21:00:00,67.90905341248438,43.36263672400045,90.66852478649533
2026-07-10 22:00:00,67.95159044312791,43.82635195029809,92.81952081517633
2026-07-10 23:00:00,67.93070326269424,45.1686545454666,92.40278177880681
2026-07-11 00:00:00,67.88477917857828,46.265078350208576,91.7419325035945
2026-07-11 01:00:00,67.85817627418895,46.47918263525863,90.24106558082026
2026-07-11 02:00:00,67.85510389034224,45.24435950942843,91.31484163265678
2026-07-11 03:00:00,67.8481587121261,45.509019558016746,88.5331590922432
2026-07-11 04:00:00,67.81818120282611,45.2462417778277,89.89395411791504
2026-07-11 05:00:00,67.7762808382171,45.626824550978775,92.64638507062327
2026-07-11 06:00:00,67.74828036245155,44.07443179519191,90.71004213198054
2026-07-11 07:00:00,67.74841646044231,44.63152218045356,90.5605423310747
2026-07-11 08:00:00,67.77953245965053,45.28150963813759,91.30661369342056
2026-07-11 09:00:00,67.86026354669949,44.51671938984979,89.18242670806279
2026-07-11 10:00:00,68.03881142489838,43.88364263538803,91.98484636099852
2026-07-11 11:00:00,68.35804346815422,44.072300687818355,91.40213346569503
2026-07-11 12:00:00,68.78932277621287,44.46901631688358,91.27208406455189
2026-07-11 13:00:00,69.19960409132706,45.937733891727824,91.67526691464418
2026-07-11 14:00:00,69.40306659608976,45.91087045553947,91.76675901212549
2026-07-11 15:00:00,69.27722189766652,44.97504667309416,93.0463032707318
